Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%)
SMA,,0.623924362,,
SMA,,0.7427226027,,
SMA,,0.8615208435,,
SMA,,0.9803190842,,
SMA,,1.099117325,,
SMA,,1.217915566,,
SMA,,1.336713806,,
SMA,,1.455512047,,
SMA,,1.574310288,,
SMA,,1.693108529,,
SMA,,1.811906769,,
SMA,,1.93070501,,
SMA,,2.049503251,,
SMA,,2.168301492,,
SMA,,2.287099732,,
SMA,,2.405897973,,
SMA,,2.524696214,,
SMA,,2.643494454,,
SMA,,2.762292695,,
SMA,,2.881090936,,
SMA,,2.999889177,,
SMA,,3.118687417,,
SMA,,3.237485658,,
SMA,,3.356283899,,
SMA,,3.47508214,,
SMA,,3.59388038,,
SMA,,3.712678621,,
SMA,,3.831476862,,
SMA,,3.950275103,,
SMA,,4.069073343,,
SMA,,4.187871584,,
SMA,,4.285070145,,
SMA,,4.360669025,,
SMA,,4.414668225,,
SMA,,4.454781917,,
SMA,,4.495667026,,
SMA,,4.503226914,,
SMA,,4.522666626,,
SCP,,-0.005627187494,,
SCP,,-0.002880389774,,
SCP,,-0.005369675208,,
SCP,,-0.009618627931,,
SCP,,-0.01163580751,,
SCP,,-0.01970452581,,
SCP,,-0.02064873752,,
SCP,,-0.0301337734,,
SCP,,-0.03180760326,,
SCP,,-0.03751579227,,
SCP,,-0.04421111172,,
SCP,,-0.0466956284,,
SCP,,-0.05768043491,,
SCP,,-0.06026271089,,
SCP,,-0.06678635548,,
SCP,,-0.07339583749,,
SCP,,-0.07558469192,,
SCP,,-0.08578514189,,
SCP,,-0.08923999621,,
SCP,,-0.09201779078,,
SCP,,-0.1074761579,,
SCP,,-0.1061857353,,
SCP,,-0.1037822873,,
SCP,,-0.1001771153,,
SCP,,-0.09838740487,,
SCP,,-0.07113902843,,
SCP,,-0.05446650019,,
SCP,,-0.03484314855,,
SCP,,-0.01603497573,,
SCP,,-0.09365079365,,
SCP,,-0.09153439153,,
SCP,,-0.08042328042,,
SCP,,-0.07936507937,,
SCP,,-0.0619047619,,
SCP,,-0.04338624339,,
SCP,,-0.0253968254,,
SCP,,-0.009523809524,,
SCP,,-0.007407407407,,
SCP,,-0.1037037037,,
SCP,,-0.1021164021,,
SMA,,1.25264853,252.067918,
SMA,,1.31278395,249.005905,
SMA,,1.37284045,244.333967,
SMA,,1.43297587,241.271953,
SMA,,1.49311129,238.20994,
SMA,,1.55316779,233.538002,
SMA,,1.61330321,230.475988,
SMA,,1.67335971,225.80405,
SMA,,1.70330905,221.858157,
SMA,,1.76348392,219.601106,
SMA,,1.79343326,215.655212,
SMA,,1.85352922,211.788236,
SMA,,1.91366464,208.726223,
SMA,,1.89843349,205.466915,
SMA,,1.97372114,204.054285,
SMA,,2.03377764,199.382347,
SMA,,2.09375522,193.100484,
SMA,,2.15389064,190.03847,
SMA,,2.15365389,185.208697,
SMA,,2.21386822,183.756608,
SMA,,2.27400364,180.694594,
SMA,,2.30387406,175.138776,
SMA,,2.36397002,171.2718,
SMA,,2.42410544,168.209787,
SMA,,2.48408302,161.927924,
SMA,,2.54421844,158.865911,
SMA,,2.60419602,152.584048,
SMA,,2.66433144,149.522035,
SMA,,2.64910029,146.262726,
SMA,,2.72446686,146.460021,
SMA,,2.72423011,141.630247,
SMA,,2.78444444,140.178159,
SMA,,2.84446149,134.701258,
SMA,,2.90447853,129.224358,
SMA,,2.99460274,123.021413,
SMA,,3.05465924,118.349475,
SMA,,3.11471574,113.677537,
SMA,,3.1748117,109.810561,
SMA,,3.2348682,105.138623,
SMA,,3.29500362,102.07661,
SMA,,3.32483458,95.715829,
SMA,,3.615134,17.36802,
SMA,,3.677345,37.8263,
SMA,,3.730324,53.2155,
SMA,,3.713467,21.67457,
SMA,,3.764038,67.19056,
SMA,,3.780895,37.20241,
SMA,,3.821165,78.20562,
SMA,,3.84926,48.76742,
SMA,,3.8708,90.19118,
SMA,,3.896085,108.5334,
SMA,,3.930201,65.06935,
SMA,,3.955085,125.1288,
SMA,,3.910133,48.84829,
SMA,,3.989736,80.87447,
SMA,,4.036561,135.7072,
SMA,,4.03937,93.97609,
SMA,,4.095561,107.0777,
SMA,,4.118037,149.294,
SMA,,4.158307,120.6646,
SMA,,4.170013,163.1235,
SMA,,4.211152,184.2317,
SMA,,4.162989,172.5858,
SMA,,4.233227,139.8318,
SMA,,4.264131,200.2448,
SMA,,4.233227,124.5465,
SMA,,4.295437,156.7807,
SMA,,4.326877,216.2579,
SMA,,4.303465,143.4711,
SMA,,4.376512,172.5858,
SMA,,4.407818,234.7665,
SMA,,4.410226,186.5609,
SMA,,4.359655,162.3957,
SMA,,4.38775,220.6251,
SMA,,4.460797,197.3333,
SMA,,4.486083,252.166,
SMA,,4.528226,238.7004,
SMA,,4.514178,213.3464,
SMA,,4.545083,265.7529,
SMA,,4.584416,225.7201,
SMA,,4.629368,274.4873,
SMA,,4.629368,251.4867,
SMA,,4.612511,239.0644,
SMA,,4.659336,298.7495,
SMA,,4.659336,285.1627,
SMA,,4.668701,264.2971,
SMA,,4.713653,313.501,
SMA,,4.775463,328.6406,
SMA,,4.743622,280.7955,
SMA,,4.724892,265.7529,
SMA,,4.83259,339.0249,
SMA,,4.809177,299.2348,
SMA,,4.842891,314.3744,
SMA,,4.88878,353.5822,
SMA,,4.902827,333.6872,
SMA,,4.949653,355.2806,
SMA,,1.27897,360.1558,
SMA,,1.27897,350.8333,
SMA,,1.27897,344.3075,
SMA,,1.318125,371.4981,
SMA,,1.357279,380.5099,
SMA,,1.324148,364.817,
SMA,,1.347383,346.7047,
SMA,,1.409342,389.7214,
SMA,,1.409342,355.2281,
SMA,,1.396434,381.5975,
SMA,,1.443419,399.1238,
SMA,,1.439805,368.3596,
SMA,,1.481627,409.4319,
SMA,,1.483778,375.6933,
SMA,,1.456671,358.9128,
SMA,,1.501247,419.4469,
SMA,,1.513897,429.1423,
SMA,,1.48679,400.2426,
SMA,,1.551847,436.2274,
SMA,,1.546168,379.9994,
SMA,,1.58799,444.6177,
SMA,,1.604254,388.434,
SMA,,1.644269,452.1822,
SMA,,1.61329,381.5975,
SMA,,1.66234,395.7145,
SMA,,1.718706,463.0141,
SMA,,1.700032,453.008,
SMA,,1.730753,401.1748,
SMA,,1.748825,410.2642,
SMA,,1.784967,467.4811,
SMA,,1.803039,417.1784,
SMA,,1.839181,429.7638,
SMA,,1.85338,473.7572,
SMA,,1.863276,441.2616,
SMA,,1.848217,420.7521,
SMA,,1.899419,484.1451,
SMA,,1.88436,433.8036,
SMA,,1.93341,450.7173,
SMA,,1.902431,443.1261,
SMA,,1.96568,488.9229,
SMA,,1.987624,460.0398,
SMA,,1.974716,451.5164,
SMA,,2.025918,469.2291,
SMA,,2.034093,492.1802,
SMA,,2.062061,479.6393,
SMA,,2.09218,499.9934,
SMA,,2.132195,487.741,
SMA,,2.101215,480.4161,
SMA,,2.150266,509.1827,
SMA,,2.200608,521.1244,
SMA,,2.196735,496.7971,
SMA,,2.220486,510.2482,
SMA,,2.258694,529.5591,
SMA,,2.245786,502.7902,
SMA,,2.290964,515.8417,
SMA,,2.330979,534.8862,
SMA,,2.327107,525.1642,
SMA,,2.318071,520.0368,
PZT,,0.1,,
DEA,,80.2,,
DEA,,55.4,,
DEA,,,0.129,
DEA,,,0.159,
DEA,,,0.163,
DEA,,,0.129,
DEA,,,0.118,
DEA,,,0.113,
DEA,,,0.111,
DEA,,,0.109,
DEA,,,0.107,
DEA,,,0.106,
DEA,,,0.095,
DEA,,,0.114,
DEA,,,,
DEA,,17,,
EAP ,,200,,
EAP ,,39,49,
EAP ,,7,,
EAP ,,2-3,,
SMA,,<8 ,700,
EAP ,,200,0.1-0.3,
EAP ,,7,45,
EAP ,,70,,
SMA,,<8,,
EAP ,,>300,,
PZT,,a strain amplification ratio in excess of 10:1 per cell,,
PZT,,0.1–0.2,,
DEA,,215,,
PZT,,21,,
PZT,,,41,
PZT ,,0.009344341204,15.72621404,
PZT ,,0.04258789531,47.41650173,
PZT ,,0.05771371243,61.48297048,
PZT ,,0.07167600515,83.42448929,
PZT ,,0.08651094117,100.0802202,
PZT ,,0.1048364504,119.1399397,
